bill_id,policy_area,subjects,introduced_at,official_title,short_title,congress_term,has_keywords,regulation,related_sentences
hr3723-104,Crime and Law Enforcement,"Administrative remedies|Associations, institutions, etc.|Business intelligence|Compensation for victims of crime|Computer crimes|Computer networks|Computer security measures|Computers and government|Congressional reporting requirements|Conspiracy|Criminal investigation|Criminal justice information|Cryptography|Depressed areas|District of Columbia|Electronic surveillance|Extortion|Extraterritoriality|Federal aid to housing|Federal aid to youth services|Fines (Penalties)|Foreign agents|Foreign corporations|Forfeiture|Fraud|Government trust funds|Grants-in-aid|Injunctions|Insanity defense|Larceny|Medical records|Mental illness|Obstruction of justice|Pleas (Criminal procedure)|Prosecution|Psychiatric hospitals|Public housing|Rights of institutionalized persons|Secret service|Sentences (Criminal procedure)|Sentencing guidelines|Wiretapping|Youth services",1996-06-26,"To amend title 18, United States Code, to protect proprietary economic information, and for other purposes.",Economic Espionage Act of 1996,104,0,,
hr3745-104,Crime and Law Enforcement,"Administrative procedure|Administrative remedies|Citizen participation|Competition|Corrections|Data banks|Federal Prison Industries, Inc.|Government corporations|Government paperwork|Government procurement|Government publications|Prison labor",1996-06-27,"To amend title 18, United States Code, to minimize unfair competition for Federal contracting opportunities between Federal Prison Industries and private firms, especially small business concerns, and for other purposes.",Federal Prison Industries Competition in Contracting Corrections Act of 1996,104,0,,
s1952-104,Crime and Law Enforcement,Accounting|Administration of juvenile justice|Authorization|Child abuse|Child molesting|Congressional investigations|Congressional reporting requirements|Crime prevention|Criminal investigation|Custody of children|Delinquency prevention|Department of Justice|Drug abuse|Drug abuse counseling|Drug abuse prevention|Drugs and youth|Evaluation research (Social action programs)|Executive reorganization|Federal aid to alcoholism programs|Federal aid to child welfare|Federal aid to law enforcement agencies|Government paperwork|Higher education|Homeless children|Homicide|Imprisonment|Juvenile corrections|Juvenile courts|Juvenile delinquency|Juvenile delinquents|Legal education|Minorities|Minorities and crime|Minority children|Names|Nonprofit organizations|Parental kidnapping|Prosecution|Rehabilitation of juvenile delinquents|Runaway children|State laws|Treatment and rehabilitation of narcotic addicts|Victims of crimes|Violence,1996-07-12,"A bill to amend the Juvenile Justice and Delinquency Prevention Act of 1974, and for other purposes.",Juvenile Justice and Delinquency Prevention Act of 1996,104,0,,
hr266-105,Crime and Law Enforcement,Burglary protection|Citizen participation in crime prevention|Community development|Community development corporations|Community policing|Crime prevention|Drug abuse|Drug law enforcement|Drug traffic|Economic development|Enterprise zones|Evaluation research (Social action programs)|Eviction|Federal aid to community development|Federal aid to housing|Federal aid to law enforcement|Infrastructure|Police-community relations|Urban affairs|Violence,1997-01-07,"To evaluate the effectiveness of certain community efforts in coordination with local police departments in preventing and removing violent crime and drug trafficking from the community, in increasing economic development in the community, and in preventing or ending retaliation by perpetrators of crime against community residents, and for other purposes.",Neighborhood Security Act,105,0,,
s339-105,Crime and Law Enforcement,"Buy American|Diversification in industry|Federal Prison Industries, Inc.|Government corporations|Government paperwork|Government procurement|New products|Prison labor|Product development",1997-02-13,"A bill to amend title 18, United States Code, to revise the requirements for procurement of products of Federal Prison Industries to meet needs of Federal agencies, and for other purposes.",,105,0,,
hr1756-105,Crime and Law Enforcement,Bank fraud|Bank records|Congressional reporting requirements|Crime prevention|Criminal investigation|Criminal justice information|Criminal justice information systems|Criminal statistics|Federal aid to law enforcement|Federal budgets|Federal-local relations|Federal-state relations|Financial institutions|Forfeiture|Government and business|Government paperwork|Intergovernmental relations|Legislation|Local laws|Money laundering|Organized crime|Planning-programming-budgeting|Prosecution|Public-private partnerships|Searches and seizures|State laws|Strategic planning,1997-06-03,"To amend chapter 53 of title 31, United States Code, to require the development and implementation by the Secretary of the Treasury of a national money laundering and related financial crimes strategy to combat money laundering and related financial crimes, and for other purposes.",Money Laundering and Financial Crimes Strategy Act of 1998,105,0,,
hr1847-105,Crime and Law Enforcement,Americans in foreign countries|Bank fraud|Business records|Compensation for victims of crime|Computers|Congressional oversight|Congressional reporting requirements|Conspiracy|Consumer protection|Crimes against the elderly|Criminal investigation|Criminal justice information|Deceptive advertising|Forfeiture|Fraud|Fugitives from justice|Government paperwork|Identification devices|Judicial officers|Names|Postal crimes|Sentences (Criminal procedure)|Sentencing guidelines|Telemarketing|Telephone|Victims of crimes,1997-06-10,To improve the criminal law relating to fraud against consumers.,Telemarketing Fraud Prevention Act of 1998,105,0,,
hr1965-105,Crime and Law Enforcement,Administrative procedure|Aliens|Archaeology|Arrest|Bank fraud|Bank records|Bankruptcy|Building construction|Business records|Chemicals|Civil procedure|Claims|Coins and coinage|Collection of accounts|Compensation (Law)|Compensation for victims of crime|Computer crimes|Computers|Conspiracy|Constitutional law|Contempt of court|Copying processes|Correctional institutions|Counterfeiting|Court records|Criminal investigation|Criminal procedure|Cultural property|Customs administration|Damages|Department of Justice|Depositions|Destruction of property|Discovery (Law)|District courts|Divorce|Drug abuse|Drug law enforcement|Drug paraphernalia|Drug seizures|Drug traffic|Due process of law|Electronic surveillance|Embezzlement|Equipment and supplies|Evidence (Law)|Explosives|Extortion|Federal law enforcement officers|Fines (Penalties)|Food adulteration and inspection|Food safety|Foreign banks and banking|Foreign exchange|Forfeiture|Forgery|Fraud|Frivolous lawsuits|Gambling|Government contractors|Government liability|Government paperwork|Government property|Government trust funds|Grand jury|Health care fraud,1997-06-19,"To provide a more just and uniform procedure for Federal civil forfeitures, and for other purposes.",Civil Asset Forfeiture Reform Act,105,0,,
s1003-105,Crime and Law Enforcement,Bank records|Congressional reporting requirements|Crime prevention|Criminal investigation|Criminal justice information|Criminal justice information systems|Criminal statistics|Federal aid to law enforcement|Federal budgets|Financial institutions|Government paperwork|Intergovernmental relations|Legislation|Money laundering|Organized crime|Planning-programming-budgeting|Prosecution|Strategic planning,1997-07-10,"A bill to amend chapter 53 of title 31, United States Code, to require the development and implementation by the Secretary of the Treasury of a national money laundering and related financial crimes strategy to combat money laundering and related financial crimes, and for other purposes.",Money Laundering and Financial Crimes Strategy Act of 1997,105,0,,
hr2610-105,Crime and Law Enforcement,Advice and consent of the Senate|Agricultural statistics|Alliances|Authorization|Boundaries|Cabinet officers|Chemicals|Cocaine|Colleges|Congressional oversight|Congressional reporting requirements|Drug abuse|Drug abuse prevention|Drug abuse treatment|Drug law enforcement|Drug legalization|Drug policy|Drug traffic|Drugs and youth|Executive Office of the President|Executive reorganization|Federal advisory bodies|Federal budgets|Federal officials|Federal-local relations|Federal-state relations|Financial statements|Georgia|Government paperwork|Government trust funds|Health surveys|Heroin|Higher education|Information storage and retrieval systems|International cooperation|Latin America|Marijuana|Mexico|Michigan|Performance measurement|Planning-programming-budgeting|Presidential appointments|Psychotropic drugs|Reprogramming of appropriated funds|Smuggling|Strategic planning|Surveys|Technology assessment|Violence|Western Hemisphere,1997-10-06,"To amend the National Narcotics Leadership Act of 1988 to extend the authorization for the Office of National Drug Control Policy until September 30, 1999, to expand the responsibilities and powers of the Director of the Office of National Drug Control Policy, and for other purposes.",Office of National Drug Control Policy Reauthorization Act of 1997,105,0,,
